prev	base	reading	decision
中村	元	ナカムラ・ハジメ	ナカムラ|ハジメ
井上	優	いのうえまさる	いのうえ|まさる
井上	優	いのうえ・まさる	いのうえ|まさる
前田	慶一	まえだ・けいいち	まえだ|けいいち
加藤	祥	かとう・さち	かとう|さち
夢枕	獏	ゆめまくら・ばく	ゆめまくら|ばく
大島	一	おおしまはじめ	おおしま|はじめ
大角	修	おおかど・おさむ	おおかど|おさむ
太田	昌孝	おおたまさたか	おおた|まさたか
宇佐美	洋	うさみよう	うさみ|よう
宇佐美	洋	うさみ・よう	うさみ|よう
小林	隆	こばやし・たかし	こばやし|たかし
山内	和朗	やまうちかずお	やまうち|かずお
山崎	誠	やまざきまこと	やまざき|まこと
松本	曜	まつもと・よう	まつもと|よう
森	浩一	もり・こういち	もり|こういち
江添	亮	えぞえりょう	えぞえ|りょう
泉	大輔	いずみ・だいすけ	いずみ|だいすけ
湯浅	誠	ユアサ・マコト	ユアサ|マコト
矢田	勉	やだ・つとむ	やだ|つとむ
立松	直文	たてまつなおふみ	たてまつ|なおふみ
米田	穣	よねだ・みのる	よねだ|みのる
荒木	浩	あらき・ひろし	あらき|ひろし
近藤	譲	コンドウジョウ	コンドウ|ジョウ
遠藤	美代子	えんどうみよこ	えんどう|みよこ
