base	reading
一	いつ
一円融合	いちえんゆうごう
一向心	ひたぶるこころ
一天	いってん
一己	いっこ
一簞	いったん
一視同仁	いっしどうじん
丁	よぼろ
七生報国	しちしょうほうこく
万	よろず
万世一系	ばんせいいっけい
万世不易	ばんせいふえき
万古不易	ばんこふえき
万善	まんぜん
万朶	まんだ
万邦	ばんぽう
丈	じょう
三上喜孝	みかみよしたか
三勾	みわ
三昧耶	サマヤ
三枝充悳	さいぐさみつよし
三浦國雄	みうら・くにお
三種	さんしゅ
三韓	さんかん
上	かみ
上下	しょうか
上天	じょうてん
下	しも
下野	しもつけ
不二	ふじ
不忠	ふちゅう
不還	ふげん
与	とも
且	かつ
丕基	ひき
世々	よよ
世人	せじん
世務	せいむ
中	なか
中世	ちゅうせい
中今	なかいま
中務哲郎	ナカツカサテツオ
中国	ちゅうごく
中大兄皇子	なかのおおえのおうじ
中島国彦	ナカジマクニヒコ
中朝事実	ちゅうちょうじじつ
中村元	なかむら・はじめ
中村光夫	ナカムラミツオ
中村善也	ナカムラゼンヤ
中条省平	ちゅうじょう・しょうへい
中澤信幸	なかざわ・のぶゆき
中臣祓	なかとみのはらえ
中臣鎌足	なかとみのかまたり
丸山真男	マルヤマ・マサオ
丹	あか
丹	に
主上	しゅじょう
之	これ
乾霊	けんれい
争	いかで
事	こと
事	つかえ
事無酒	ことなぐし
二十一代集	にじゅういちだいしゅう
二宮尊徳	にのみやそんとく
二心	ふたごころ
五十鈴川	いすずがわ
五瀬命	イツセノミコト
五穀	ごこく
井上寛司	いのうえひろし
井波律子	イナミ・リツコ
交	まじわり
交通	こうつう
亦	また
亭	ちん
人	ひと
人君	じんくん
人間	じんかん
仁徳	にんとく
仁德天皇	にんとくてんのう
仁恕	じんじょ
今	いま
今井清一	イマイ・セイイチ
今様	いまよう
今野真二	コンノ・シンジ
仏蘭西	フランス
仕	つか
令	りょう
以	もっ
仰	おおせ
仲哀	ちゅうあい
仲哀天皇	ちゅうあいてんのう
伊勢	いせ
伊邪那岐	イザナギ
伊邪那美	イザナミ
会沢正志斎	あいざわせいしさい
位	くらい
佐々木由香	ささき・ゆか
佐野真一郎	さの・しんいちろう
体	たい
体言	たいげん
何	いず
何事	なにごと
佗	わ
佛敎	ぶっきょう
併	しか
使	つかい
使嗾	しそう
使役	しえき
侍	さむら
供御	くご
依網	よさみ
便	すなわ
便利	べんり
俗	ぞく
保食	うけもち
俤	おもかげ
候文	そうろうぶん
倚藉	いしゃ
倣	なら
倭	やまと
倭	ヤマト
偏心	ひとえごころ
偕	とも
偲	しの
側柏	このてがしは
備後	びんご
僧	そう
僧伽	サンガ
元	はじめ
元元集	げんげんしゅう
元年	がんねん
元明	げんみょう
兄	いろせ
兆民	ちょうみん
先	せん
光仁	こうにん
光仁天皇	こうにんてんのう
光明	こうみょう
光明皇后	こうみょうこうごう
光華	ひかり
光被	こうひ
克	よ
免	めん
党	たむら
入鹿	いるか
全	ぜん
兩國	りょうこく
八咫鏡	やたのかがみ
八坂瓊曲玉	やさかにのまがたま
八州	はっしゅう
八幡宮	はちまんぐう
八百会	やおあい
八神	はっしん
八重雲	やえぐも
公	おおやけ
公事根源	くじこんげん
公卿	くぎょう
公役	くやく
六合	りくごう
六国史	りっこくし
其	そ
其	その
内宮	ないくう
内裏雛	だいりびな
再	ふたた
再	ふたたび
冥加	みょうが
冥助	めいじょ
凡	およ
凡百	ぼんひゃく
凱旋	がいせん
出	いだ
出世	しゅっせ
出雲	いづも
分	ぶん
列聖	れっせい
初土	はつに
初穂	はつほ
別	べつ
利	くぼさ
制	のり
前妻	こなみ
創	はじ
劔	つるぎ
力	ちから
助	たすけ
労	いたつ
勅	みことのり
勅撰	ちょくせん
勅版	ちょくはん
動	やや
勢	いきおい
化	か
化育	かいく
北川桃雄	キタガワ・モモオ
北畠親房	きたばたけちかふさ
千五百秋	ちいほあき
千木	ちぎ
千秋	せんしゅう
千葉幹夫	ちばみきお
卓爾	たくじ
卓見	たっけん
協心戮力	きょうしんりくりょく
南都仏教	なんとぶっきょう
印度	インド
印行	いんこう
即	つ
参内	さんだい
又	また
反逆	はんぎゃく
叢雲	むらくも
古	いにしえ
古事記伝	こじきでん
可可	かか
右遶	うにょう
吉田敏浩	よしだ・としひろ
吉野宮	よしののみや
同心協力	どうしんきょうりょく
同母兄	いろせ
同母妹	いろも
向	むか
君	きみ
君民	くんみん
君父	くんぷ
君臣	くんしん
吾	あ
吾	あれ
吾	われ
呉服	くれはとり
味物	ためつもの
命	みこと
和	な
和	やわ
和気清麻呂	わけのきよまろ
和銅	わどう
和魂	にぎみたま
咎	とが
咫尺	しせき
咲酒	ゑぐし
咸	ことごと
唐	とう
唯	ただ
問	と
喉	のみと
喜	よろこ
喜	よろこび
嘉言	かげん
四十	しじゅう
四方	よも
四海	しかい
四道将軍	しどうしょうぐん
囲	かこみ
固陋	ころう
国分寺	こくぶんじ
国司	こくし
国学	こくがく
国書	こくしょ
国記	こくき
國主	こくしゅ
國内	こくない
國分寺	こくぶんじ
國書	こくしょ
國民	こくみん
國體	こくたい
土	に
在	いま
地	つち
地頭	じとう
坐	いま
坐	ま
垂乳根	たらちね
城	しろ
執拗	しつよう
執権	しっけん
基	もと
基	もとい
堂上	どうじょう
堤	つつみ
場	ば
塩	しほ
墓	はか
壁	かべ
士規七則	しきしちそく
声聞	しょうもん
外宮	げくう
外物	とのもの
外道	げどう
夙	つと
多	た
大	おお
大	おおい
大伴家持	おおとものやかもち
大佛	だいぶつ
大元帥	だいげんすい
大八島	おおやしま
大八島国	おおやしまのくに
大八洲	おおやしま
大八洲国	おおやしまのくに
大化	たいか
大君	おおきみ
大和	やまと
大和魂	やまとだましい
大嘗祭	だいじょうさい
大国主命	オオクニヌシノミコト
大國主命	おおくにぬしのみこと
大宝	たいほう
大宮	おおみや
大家	おおやけ
大寶	たいほう
大寶律令	たいほうりつりょう
大御食	おおみけ
大日如来	だいにちにょらい
大日本	おおやまと
大旨	たいし
大極殿	だいごくでん
大瀛	たいえい
大物主	オオモノヌシ
大王	おおきみ
大病	たいびょう
大石	おひし
大祓	おおはらい
大統	たいとう
大船	おおふね
大蛇	おろち
大野晋	オオノ・ススム
大隅	おおすみ
天	あま
天	あめ
天下	あめのした
天下太平	てんかたいへい
天之御中主神	アメノミナカヌシノカミ
天台宗	てんだいしゅう
天地	あめつち
天地開闢	てんちかいびゃく
天壌	てんじょう
天忍日命	アメノオシヒノミコト
天智	てんち
天智天皇	てんちてんのう
天暦	てんりゃく
天津神	アマツカミ
天満天神	てんまんてんじん
天照大神	あまてらすおおみかみ
天照大神	アマテラスオオミカミ
天照大神	あまてらすおおみかみ
天皇記	てんのうき
天目一箇神	アメノマヒトツノカミ
天鈿女命	あめのうずめのみこと
太平	たいへい
太平記	たいへいき
太陽	たいよう
夫	そ
夫々	それぞれ
失体	しったい
奈良	なら
奈良時代	ならじだい
奉	ほう
奉	まつ
奏楽	そうがく
女	をみな
女帝	じょてい
女陰	ホト
如	ごと
始	はじめ
姓	かばね
姓	せい
威	い
威霊	いれい
孝徳	こうとく
孤兒	こじ
學問	がくもん
學者	がくしゃ
宇	いえ
宇佐八幡	うさはちまん
宇佐八幡宮	うさはちまんぐう
宇迦	ウカ
守護	しゅご
安	やす
安国	やすくに
安寝	やすい
宏謨	こうぼ
宗	むね
宗像	むなかた
宗良	むねなが
官	つかさ
官位	かんい
宝	たから
宝物	たからもの
宝祚	ほうそ
実	じつ
宣	の
宣	のたま
宣命	せんみょう
宮	みや
宮中三殿	きゅうちゅうさんでん
宮居	みやい
家永三郎	イエナガ・サブロウ
宸筆	しんぴつ
宸翰	しんかん
容	カタチ
富士谷御杖	ふじたにみつえ
富貴	ふうき
寝	な
寡弱	かじゃく
實	じつ
寰宇	かんう
寸毫	すんごう
寿詞	よごと
専	もは
尊	たつと
尊	みこと
對馬	つしま
小松和彦	こまつかずひこ
