base	reading
一世一元	いっせいいちげん
一乗止観院	いちじょうしかんいん
一事	ひとこと
一人	いちじん
一人	いちにん
一位	いちい
一処	ひとところ
一刀	ひとかたな
一向	いつかう
一向一揆	いっこういっき
一向宗	いっこうしゅう
一品	いつぽん
一塊	ひとかたまり
一天	いつてん
一夫一婦制	いっぷいっぷせい
一定	いちぢやう
一帯一路	いったいいちろ
一度	ひとたび
一弾指	いちだんし
一所	いつしよ
一所	ひとつところ
一所	ひとところ
一方	いちかた
一方	ひとかた
一族郎等	いちぞくろうどう
一日	いちじつ
一日	いちにち
一日千秋	いちじつせんしゅう
一旦	いつたん
一期	いちご
一木	いちぼく
一本	ひともと
一本薄	ひともとすすき
一束	ひとたば
一枚	いちまい
一株	ひとかぶ
一毛	いちもう
一滴	ひとしずく
一生懸命	いっしょうけんめい
一眼	いちがん
一簞	いったん
一粒	ひとつぶ
一羽	いちわ
一脚	いっきゃく
一色	いつしき
一芝居	ひとしばい
一見	いちげん
一角	ひとかど
一言	いちごん
一話一言	いちわいちげん
一諾千金	いちだくせんきん
一谷	いちのたに
一身	いつしん
一軒	いっけん
一途	いちず
一重	ひとえ
一重	ひとへ
一間	ひとま
一面	いちめん
丁卯胡乱	ていぼうこらん
七人	しちにん
七出	しちしゅつ
七十	しちじゅう
七宝	しつぽう
七度	ななたび
七日	なぬか
七枝刀	ななさやのたち
七海建人	ななみけんと
七重八重	ななへやへ
万世	ばんせい
万乗	ばんじよう
万国津梁館	ばんこくしんりょうかん
万年	まんねん
万機	ばんき
万葉集	まんようしゅう
万軍	ばんぐん
万里小路藤房	までのこうじふじふさ
万雑公事	まんぞうくじ
丈夫	ますらを
三七日	みなぬか
三七日	みなのか
三世	さんぜ
三位	さんみ
三内	さんない
三分	さんぶ
三叉路	さんさろ
三句	さんく
三合	さんごう
三吉慎蔵	みよししんぞう
三善為康	みよしのためやす
三四郎池	さんしろういけ
三圭	さんけい
三埼	みさき
三好義継	みよしよしつぐ
三姉妹	さんしまい
三子	さんし
三字経	さんじきょう
三宅雪嶺	みやけせつれい
三宝	さんぼう
三宝	さんぽう
三島栄次	みしまえいじ
三川	みかわ
三年	さんねん
三年	みとせ
三度	みたび
三教指帰	さんごうしいき
三方五湖	みかたごこ
三日三晩	みっかみばん
三昧	ざんまい
三時	さんじ
三月	さんがつ
三木武夫	みきたけお
三条西家	さんじょうにしけ
三橋鷹女	みつはしたかじょ
三池苗子	みいけなえこ
三河国	みかわのくに
三浦按針	みうらあんじん
三浦梅園	みうらばいえん
三浦綾子	みうらあやこ
三瓶山	さんべさん
三田	さんでん
三界	さんかい
三百	さんびゃく
三社	さんじや
三神一体	さんしんいったい
三経義疏	さんぎょうぎしょ
三者	さんしゃ
三船	さんせん
三衣	さんね
三角縁神獣鏡	さんかくぶちしんじゅうきょう
三論	さんろん
三足	みつあし
三身	みつみ
三軍	さんぐん
三輪	みわ
三郎	さぶらう
三隅	さんぐう
上下	しょうか
上下	じょうか
上京区	かみぎょうく
上原由衣	うえはらゆい
上司	かみつかさ
上喜撰	じょうきせん
上地	うえち
上山草人	かみやまそうじん
上手	うわて
上手	かみて
上杉憲実	うえすぎのりざね
上杉景勝	うえすぎかげかつ
上杉謙信	うえすぎけんしん
上村占魚	うえむらせんぎょ
上村清延	かみむらきよのぶ
上東門院	じょうとうもんいん
上沼恵美子	かみぬまえみこ
上田五千石	うえだごせんごく
上田合戦	うえだかっせん
上石弥生	かみいしやよい
上米	あげまい
上衣	じょうえ
上辺	うはべ
上高野	かみたかの
上鳴電気	かみなりでんき
下司	げし
下役人	したやくにん
下智	げち
下知	げぢ
下知状	げちじょう
下総	しもふさ
下野	しもつけ
下野国	しもつけのくに
下﨟	げらふ
不倶戴天	ふぐたいてん
不動明王	ふどうみょうおう
不受不施	ふじゅふせ
不均衡	ふきんこう
不忍池	しのばずのいけ
不愉快	ふゆかい
不意打	ふいうち
不本意	ふほんい
不条理	ふじょうり
不機嫌	ふきげん
不死川玄弥	しなずがわげんや
不生不滅	ふしょうふめつ
不知吟士	しらずぎんし
不祝儀	ぶしゅうぎ
不義遊戯	ブギウギ
不老不死	ふろうふし
不自由	ふじゆう
不還	ふげん
不飽和脂肪酸	ふほうわしぼうさん
与志江	よしえ
与謝蕪村	よさぶそん
与謝野晶子	よさのあきこ
与謝野馨	よさのかおる
与那国島	よなぐにじま
世俗的	せぞくてき
世捨人	よすてびと
世界保健機関	せかいほけんきかん
世界初	せかいはつ
世話物	せわもの
世説新語	せせつしんご
世間	よのなか
世間胸算用	せけんむねさんよう
世間虚仮唯仏是真	せけんこけゆいぶつぜしん
丙子	へいし
両刃	もろは
両性具有	りょうせいぐゆう
両面	ふたおも
並木宗輔	なみきそうすけ
中世古香織	なかせこかおり
中先代	なかせんだい
中務哲郎	なかつかさてつお
中原	ちゅうげん
中右記	ちゅうゆうき
中大兄皇子	なかのおおえのおうじ
中宗	チュンジョン
中宮	ちゅうぐう
中宮	ちゆうぐう
中将	ちゆうじやう
中将姫	ちゅうじょうひめ
中尊寺金色堂	ちゅうそんじこんじきどう
中島国彦	なかじまくにひこ
中嶽	なかだけ
中川夏紀	なかがわなつき
中日	なかび
中曽根康弘	なかそねやすひろ
中村元	なかむらはじめ
中村光夫	なかむらみつお
中村善也	なかむらぜんや
中江兆民	なかえちょうみん
中江藤樹	なかえとうじゅ
中田一郎	なかたいちろう
中納言	ちゅうなごん
中納言	ちゆうなごん
中臣氏	なかとみうじ
中臣鎌子	なかとみのかまこ
中臣鎌足	なかとみのかまたり
中道	なかみち
中都	ちゅうと
中都	なかつ
中里	なかざと
丸山真男	まるやままさお
丹下段平	たんげだんぺい
丹後国	たんごのくに
丹後掾	たんごのじょう
丹波布	たんばぬの
丹生川	にゆうかわ
主上	しゆしやう
主従	しゆうじゆう
主殿司	とのもづかさ
乃木希典	のぎまれすけ
乃木憂助	のぎゆうすけ
久世光彦	くぜてるひこ
久住昌之	くすみまさゆき
久保	ひさやす
久保田万太郎	くぼたまんたろう
久松長家	ひさまつながいえ
久留米絣	くるめがすり
久石奏	ひさいしかなで
久米島紬	くめじまつむぎ
久米歌	くめうた
久米舞	くめまい
久米邦武	くめくにたけ
久米部	くめべ
久高島	くだかじま
乕吉	とらきち
乙巳	いっし
乙骨憂太	おっこつゆうた
九十九由基	つくもゆき
九国	くこく
九日	ここのか
九条家	くじょうけ
九鬼周造	くきしゅうぞう
乳房	ちぶさ
乳海攪拌	にゅうかいかくはん
乾隆帝	けんりゅうてい
亀井宏	かめいひろし
亀子	かめのこ
亀岡	かめをか
亀玆	きじ
予示	よし
予言者	よげんしゃ
二七日	ふたなのか
二上山	ふたかみやま
二人	ににん
二代	にだい
二位尼	にいのあま
二十四節気	にじゅうしせっき
二十日鼠	はつかねずみ
二子	ふたご
二宮尊徳	にのみやそんとく
二月	にがつ
二条	にでう
二神	にしん
二輪	にりん
二輪車	にりんしゃ
二郎	じらう
二階俊博	にかいとしひろ
于役	うえき
五下分結	ごげぶんけつ
五位	ごゐ
五十二	いそじ
五大力	ごだいりき
五月一日経	ごがつついたちきょう
五百	いお
五百	いほ
五百津	いおつ
五種競技	ごしゅきょうぎ
五節	ごせつ
五節舞	ごせちのまい
五経	ごけい
五経博士	ごきょうはかせ
五胡十六国	ごこじゅうろっこく
五逆罪	ごぎやくざい
井上和香	いのうえわか
井上靖	いのうえやすし
井上順菜	いのうえじゅんな
井之頭五郎	いのがしらごろう
井伊直政	いいなおまさ
井原西鶴	いはらさいかく
井戸端	いどばた
井波律子	いなみりつこ
亜門鋼太朗	あもんこうたろう
亜麻布	あまぬの
亡霊	ばうれい
交叉点	こうさてん
交詢社	こうじゅんしゃ
交際	カウサイ
交響曲	こうきょうきょく
京極	きようごく
京畿道	キョンギド
人化	ひとか
人商人	ひとあきびと
人好	ひとよし
人形	ひとがた
人情本	にんじょうぼん
人数	にんず
人気	じんき
人皆	ひとみな
人給	にんきゅう
人言	ひとごと
人身御供	ひとみごくう
仁安	にんあん
仁平	にんぺい
仁徳天皇陵	にんとくてんのうりょう
今井	いまゐ
今井兼平	いまいかねひら
今井清一	いまいせいいち
今夕	こんせき
今川氏真	いまがわうじざね
今川義元	いまがわよしもと
今日	けふ
今日	こんにち
今昔物語集	こんじゃくものがたりしゅう
今村洋子	いまむらようこ
今様	いまやう
今生	こんじやう
今野寿美	こんのすみ
今野真二	こんのしんじ
仏御前	ほとけごぜん
仏性	ぶっしょう
仏性	ぶつしやう
仏足石歌体	ぶっそくせきかたい
仔猫	こねこ
仔馬	こうま
他人	ひと
他愛	たわい
付睫毛	つけまつげ
代々	よよ
代貸	だいがし
以仁王	もちひとおう
以夷征夷	いいせいい
仮名	かんな
仮名	けみょう
仮名垣魯文	かながきろぶん
仮名手本忠臣蔵	かなでほんちゅうしんぐら
仮名草子	かなぞうし
仮小屋	かりごや
仰向	あおむけ
仰向	あふむけ
仲井真弘多	なかいまひろかず
仲平	ちゅうへい
仲弓	ちゅうきゅう
仲間	ちゅうげん
仿製鏡	ぼうせいきょう
伊丹三樹彦	いたみみきひこ
伊予国	いよのくに
伊勢国	いせのくに
伊勢宗瑞	いせそうずい
伊勢物語	いせものがたり
伊勢瓶子	いせへいじ
伊勢神宮	いせじんぐう
伊地知潔高	いじちきよたか
伊奈忠次	いなただつぐ
伊尹	いいん
伊尹	これただ
伊川	いかわ
伊川津	いかわつ
伊曽保物語	イソホものがたり
伊東倉元	いとうくらもと
伊東正義	いとうまさよし
伊沢蘭軒	いざわらんけん
伊能忠敬	いのうただたか
伊藤仁斎	いとうじんさい
伊藤博文	いとうひろぶみ
伊谷純一郎	いたにじゅんいちろう
伊豆国	いずのくに
伊豆国	いづのくに
伊賦夜坂	いふやざか
伊達政宗	だてまさむね
伊邪那岐命	いざなぎのみこと
伊邪那美命	いざなみのみこと
伊都	いつ
伎楽面	ぎがくめん
伏見区	ふしみく
伏見稲荷	ふしみいなり
休場	やすみば
会下	えか
会者定離	ゑしやぢやうり
伝教大師	でんぎょうだいし
伝言	つてこと
伯姫	はくき
伯父	をぢ
伴信友	ばんのぶとも
伴大納言	ばんだいなごん
伽草子	とぎぞうし
但馬国	たじまのくに
但馬皇女	たじまのひめみこ
低湿地	ていしっち
住国	ぢゅうこく
住家	すみか
佐々成政	さっさなりまさ
佐々木小次郎	ささきこじろう
佐々木梓	ささきあずさ
佐々木琲世	ささきはいせ
佐々木高綱	ささきたかつな
佐久間信盛	さくまのぶもり
佐久間象山	さくましょうざん
佐佐木高行	ささきたかゆき
佐倉宗五郎	さくらそうごろう
佐原眞	さはらまこと
佐橋甚五郎	さはしじんごろう
佐比売山	さひめやま
佐渡島方治	さどじまほうじ
佐理	さり
佐藤惣之助	さとうそうのすけ
佐藤栄作	さとうえいさく
佐藤義清	さとうのりきよ
佐藤黒呼	さとうくろこ
佐野万次郎	さのまんじろう
何人	なにびと
何人	なんびと
何人	なんぴと
何分	なにぶん
何時	なんどき
何色	なんしょく
作手	つくて
作田	さくでん
作礼	さらい
佩文韻府	はいぶんいんぷ
佩玉	はいぎょく
使徒言行録	しとげんこうろく
侃侃諤諤	かんかんがくがく
侍御史	じぎょし
供御人	くごにん
供物	そなえもの
供犠	きょうぎ
供祭	ぐさい
供養	くやう
依存度	いぞんど
依田学海	よだがっかい
便宜的	べんぎてき
俊乗房	しゅんじょうぼう
俊寛	しゅんかん
俊恵	しゅんえ
俊恵法師	しゅんえほうし
俊成	しゆんぜい
俊頼髄脳	としよりずいのう
保育園	ほいくえん
信太	しだ
信実	のぶざね
信憑性	しんぴょうせい
信濃前司行長	しなののぜんじゆきなが
信濃国	しなののくに
信貴山縁起	しぎさんえんぎ
信頼	のぶより
修学院	しゅがくいん
修正会	しゅしょうえ
修理	しゆり
修験者	しゆげんじや
修験道	しゅげんどう
俱梨伽羅	くりから
俱梨迦羅	くりから
俱梨迦羅峠	くりからとうげ
俳優	わざおぎ
俵屋宗達	たわらやそうたつ
候間	そうろうあいだ
借上	かしあげ
倭人伝	わじんでん
倭鍛部	やまとかぬちべ
偐紫田舎源氏	にせむらさきいなかげんじ
停任	ちやうにん
健児	こんでい
偵察機	ていさつき
傀儡	かいらい
傀儡師	くぐつし
傅善祥	ふぜんしょう
傘木希美	かさきのぞみ
備中	びつちゆう
備前国	びぜんのくに
傲岸不遜	ごうがんふそん
僧尼令	そうにりょう
僧都	そうづ
優勝者	ゆうしょうしゃ
元明	げんめい
元田永孚	もとだながざね
兄姉	きょうだい
兄弟	けいてい
兄弟愛	きょうだいあい
先世	せんぜ
先知恵	さきぢえ
先駆	さきがけ
光孝	こうこう
光明遍照	くわうみやうへんぜう
光月家	こうづきけ
光海君	クァンヘグン
光緒帝	こうちょてい
光行	みつゆき
免田	めんでん
免罪符	めんざいふ
党利党略	とうりとうりゃく
入唐求法巡礼行記	にっとうぐほうじゅんれいこうき
入彦	いりびこ
入水	じゆすい
入相	いりあひ
入道	ニフダウ
全斗煥	チョンドファン
八丈絹	はちじょうぎぬ
八上	やがみ
八代集	はちだいしゅう
八佾	はちいつ
八分	はっぷん
八咫鏡	やたのかがみ
八塩折	やしおおり
八左衛門	はちざえもん
八幡太郎	はちまんたろう
八幡宮	はちまんぐう
八拳	やつか
八日	やうか
八木俊典	やぎとしのり
八束水臣津野命	やつかみづおみつののみこと
八正道	はっしょうどう
八百	ヤオ
八百土	やおに
八穂蓼	やほたで
八紘一宇	はっこういちう
八聖道	はっしょうどう
八股文	はっこぶん
八部衆	はちぶしゅう
八重	やへ
八重葎	やへむぐら
八間	はちけん
公事根源	くじこんげん
公冶長	こうやちょう
公定歩合	こうていぶあい
公宴	くえん
公文	くもん
公田	くでん
公界	くがい
公等	こうら
公達	きんだち
六人部是香	むとべよしか
六代	ろくだい
六分儀	ろくぶんぎ
六導玲霞	りくどうれいか
六歌仙	ろっかせん
六波羅探題	ろくはらたんだい
六波羅蜜寺	ろくはらみつじ
六連星	むつらぼし
六道	ろくどう
六道銭	ろくどうせん
六部	りくぶ
兵仗	ひやうぢやう
兵糧米	ひようろうまい
兵衛	へえ
其人	そのひと
其他	そのた
其他	そのほか
其儘	そのまま
其枝	そのえ
其迄	それまで
具足戒	ぐそくかい
兼行	かねゆき
内侍所	ないしどころ
内外	うちそと
内大臣	ないだいじん
内惑星	ないわくせい
内検使	ないけんし
内海	うちうみ
内甲	うちかぶと
内蔵寮	くらりょう
内親王	ないしんのう
内閣学士	ないかくがくし
円城塔	えんじょうとう
円山応挙	まるやまおうきょ
円相	えんそう
円覚寺	えんがくじ
円谷光彦	つぶらやみつひこ
冉伯牛	ぜんはくぎゅう
冉有	ぜんゆう
冊子	そうし
冒険者	ぼうけんしゃ
冠着山	かむりきやま
冠者	かんじゃ
冠者	くわじや
冠者	くわんじや
冠落	かむりおとし
冥加	みやうが
冥王星	めいおうせい
冬嗣	ふゆつぐ
凌雲集	りょううんしゅう
凜々	りり
凡夫	ぼんぶ
凡河内躬恒	おおしこうちのみつね
凶服	きょうふく
出来	いでく
出来	しゅったい
出来	でけ
出雲国	いずものくに
出雲国風土記	いずものくにふどき
出雲大社	いずもたいしゃ
出雲建	いずもたける
出雲阿国	いずものおくに
刀磨	かたなとぎ
刃切	はぎれ
分別	ふんべつ
分前	わけまえ
分岐点	ぶんきてん
分水嶺	ぶんすいれい
切刃	きりは
切島鋭児郎	きりしまえいじろう
切磋琢磨	せっさたくま
