base	reading	cut
四楓	しほう	0
太不佐支	タフサギ	0
西田優柾	ゆうせい	2
石川伯耆守	ほうきのかみ	2
１０８	ヒトマルハチ	0
豆状	とうじょう	0
反応速	はえ	2
復帰早	はえ	2
鉄哲徹鐵	てつてつ	2
尾白猿夫	ましらお	2
瀬呂範太	はんた	2
泡瀬洋雪	ようせつ	2
香薫	かくん	0
藻周	もす	0
円乗寺辰房	たつふさ	3
竹添幸吉郎	こうきちろう	2
夜伏	やふく	0
藤堂為左衛門	いざえもん	2
三百間	けん	2
警戒強度	カテゴリー	0
鎧食	よろいぐ	0
軀司操血	くじそうけつ	0
蝦蟇口縛	ガマぐちしば	0
暴海月	あばれくらげ	0
大筒木化	おおつつきか	0
腕刀斬	わんとうぎ	0
塔中華島	とうちゅうかとう	0
最強種自然系	ロギアけい	3
世経	せけい	0
大脱走開始	スタート	3
柄悪	わり	1
比良坂零輝	れいき	3
堤無津	ていむず	0
処分	ころ	0
躯倶留	くくる	0
日車寛見	ひろみ	2
梨門邸	なしもて	0
有楽亭菊比古	きくひこ	3
之定	のさだ	0
彼女	ヨメ	0
美我子	みわこ	0
呉恵利央	くれえりお	0
梨鶴奈	りずな	0
普良巢	ふらす	0
遣手婆	ばばあ	2
