base	reading
阿笠博士	あがさひろし
虚閃	セロ
勇音	いさね
喰種	グール
之芭	のば
三魔眼	サードアイ
白鳥沢	しらとりざわ
記録指針	ログポース
我妻由乃	がさいゆの
我愛羅	ガアラ
蒼紫	あおし
志々雄	ししお
世界会議	レヴェリー
夏油	げとう
間桐	まとう
六月	むつき
十八番	オハコ
九蛇	クジャ
指銃	しがん
紫音	しおん
甚爾	とうじ
夜久衛輔	やくもりすけ
志々雄真実	ししおまこと
火前坊	かぜんぼう
牙突	がとつ
般田	はんだ
三輪	みわ
二重	ふたえ
七崩賢	しちほうけん
七海建人	ななみけんと
八輝将	はっきしょう
12th	トゥエルフス
聖文字	シュリフト
育手	そだて
血塗	けちず
間桐桜	まとうさくら
二牙	フーガ
心美	ここみ
羽赫	うかく
土茶	とさ
壊相	えそう
恵利美	えりみ
権八郎	ごんぱちろう
炎舞	えんぶ
空喜	うろぎ
駆藤	くどう
九頭	くず
五月	さつき
八巻	やまき
尾赫	びかく
平良伊江	たいらよしえ
戦姫	せんき
数字持ち	ヌメロス
真火	しんか
聖哭螳蜋	サンタテレサ
蕾実	つぼみ
3rd	サード
5th	フィフス
Ms.	ミズ
三度	みたび
九相図	くそうず
五芒星	アビス
四月	よつき
女川太郎	おながわたろう
御業	みわざ
憂那	うきな
氷河時代	アイスエイジ
炎虎	えんこ
甲斐玄人	かいくろと
留海	るみ
鉄漿蜻蛉	はぐろとんぼ
鍛人	かぬち
馬骨	ばこつ
髑髏大帝	アロガンテ
一兵卒	いっぺいそつ
一翔	かずと
三春駒	みはるごま
三月	みつき
三葉	みつば
下奴	かど
不義遊戯	ブギウギ
二人羽織	ににんばおり
伏魔御廚子	ふくまみづし
会合衆	えごうしゅう
但馬牛	たじまぎゅう
全州	チョンジュ
再不斬	ザブザ
准三后	じゅさんごう
千鹿谷	ちがや
変若水	おちみず
大人気	おとなげ
実山椒	みざんしょう
家妻	かさい
小商人	こあきんど
小拍子	こびょうし
希華	まれか
御人	ごじん
御廚子	みづし
御祖	みおや
御霊	みたま
戦乙女	ヴァルキリー
打根	うちね
拌三絲	ばんさんすー
斉衰	しさい
日間賀島	ひまかじま
晴華	はるか
有難山	ありがたやま
東治	とうじ
毒竜	ヒドラ
水餃子	すいぎょうざ
海底落下	ブルーホール
無問題	モウマンタイ
王仁	わに
直刃	すぐは
石竜子	トカゲ
砂土原	さどはら
緊急発進	スクランブル
臥王鵡角	がおうむかく
蒼月草	そうげつそう
蓬壷	ほうこ
言祝	ことほ
辰鼓楼	しんころう
鬼滅	きめつ
