tag	base	reading
ルビ右［対峙｜たいじ	対峙	たいじ
ルビ下［天竜人｜てんりゅうびと	天竜人	てんりゅうびと
ルビ上［犬噛紅蓮｜いぬがみぐれん	犬噛紅蓮	いぬがみぐれん
ルビ上［Ａ・Ｏ｜アーオー	Ａ・Ｏ	アーオー
ルビ右［Ｑ｜キュー	Ｑ	キュー
ルビ上［七武海｜しちぶかい	七武海	しちぶかい
ルビ下［悪｜わり	悪	わり
ルビ上［痛｜いて	痛	いて
ルビ上［Dr.｜ドクター	Dr.	ドクター
ルビ上［黒｜くろ	黒	くろ
ルビ上［Ｄ｜ディー	Ｄ	ディー
ルビ下［覇王色｜はおうしょく	覇王色	はおうしょく
ルビ上［塞｜せ	塞	せ
ルビ下［八方水軍｜はっぽうすいぐん	八方水軍	はっぽうすいぐん
ルビ下［棟梁｜とうりょう	棟梁	とうりょう
ルビ上［錐｜きり	錐	きり
ルビ下［首領｜ドン	首領	ドン
ルビ上［錦｜きん	錦	きん
ルビ下［十郎｜じゅうろう	十郎	じゅうろう
ルビ上［雷兵隊｜カミナリへいたい	雷兵隊	カミナリへいたい
ルビ下［八衝拳｜はっしょうけん	八衝拳	はっしょうけん
ルビ上［武頭｜ブトウ	武頭	ブトウ
ルビ上［電伝虫｜でんでんむし	電伝虫	でんでんむし
ルビ上［藤虎｜ふじトラ	藤虎	ふじトラ
ルビ下［七武海｜しちぶかい	七武海	しちぶかい
ルビ上［SMILE｜スマイル	SMILE	スマイル
ルビ上［死の刀｜ステルベン	死の刀	ステルベン
ルビ上［危｜あぶ	危	あぶ
ルビ下［王下七武海｜おうかしちぶかい	王下七武海	おうかしちぶかい
ルビ下［男｜お	男	お
ルビ上［百花繚乱｜シエンフルール	百花繚乱	シエンフルール
ルビ上［蜘蛛の華｜スパイダーネット	蜘蛛の華	スパイダーネット
ルビ上［弾糸｜タマイト	弾糸	タマイト
ルビ上［鷹鞭｜ホークウィップ	鷹鞭	ホークウィップ
ルビ下［金の斧 銀の斧｜プレシャスメタルアックス	金の斧 銀の斧	プレシャスメタルアックス
ルビ上［速｜はえ	速	はえ
ルビ上［超過鞭糸｜オーバーヒート	超過鞭糸	オーバーヒート
ルビ上［流動防壁｜バリアビリティ	流動防壁	バリアビリティ
ルビ上［階段｜ステアーズ	階段	ステアーズ
ルビ上［十郎｜じゅうろう	十郎	じゅうろう
ルビ上［２｜セカンド	２	セカンド
ルビ上［火拳銃｜レッドホーク	火拳銃	レッドホーク
ルビ上［３｜サード	３	サード
ルビ上［灰熊銃｜グリズリー・マグナム	灰熊銃	グリズリー・マグナム
ルビ右［４｜フォース	４	フォース
ルビ上［炸裂｜さくれつ	炸裂	さくれつ
